States,States,Jobs
49-9061,Alabama,0
49-9062,Alabama,820
49-9063,Alabama,130
49-9064,Alabama,0
49-9071,Alabama,13740
49-9091,Alabama,540
49-9092,Alabama,60
49-9093,Alabama,0
49-9094,Alabama,290
49-9095,Alabama,120
49-9096,Alabama,150
49-9097,Alabama,0
49-9098,Alabama,3540
49-9799,Alabama,0
51-1011,Alabama,13140
51-2011,Alabama,1550
51-2021,Alabama,380
51-2022,Alabama,2760
51-2023,Alabama,430
51-2031,Alabama,1530
51-2041,Alabama,2640
51-2091,Alabama,720
51-2092,Alabama,35410
51-2093,Alabama,0
51-3011,Alabama,1780
51-3021,Alabama,1620
51-3022,Alabama,11390
51-3023,Alabama,240
51-3091,Alabama,280
51-3092,Alabama,1110
51-3093,Alabama,0
51-4011,Alabama,2110
51-4012,Alabama,610
51-4021,Alabama,2270
51-4022,Alabama,600
51-4023,Alabama,700
51-4031,Alabama,5680
51-4032,Alabama,0
51-4033,Alabama,1330
51-4034,Alabama,530
51-4035,Alabama,300
51-4041,Alabama,6410
51-4051,Alabama,1200
51-4052,Alabama,490
51-4061,Alabama,0
51-4062,Alabama,120
51-4071,Alabama,130
51-4072,Alabama,2630
51-4081,Alabama,3370
51-4111,Alabama,760
51-4121,Alabama,9810
51-4122,Alabama,1310
51-4191,Alabama,270
51-4192,Alabama,680
51-4193,Alabama,650
51-4194,Alabama,330
51-5111,Alabama,290
51-5112,Alabama,2310
51-5113,Alabama,310
51-6011,Alabama,2930
51-6021,Alabama,740
51-6031,Alabama,3040
51-6041,Alabama,50
51-6042,Alabama,0
51-6051,Alabama,110
51-6052,Alabama,260
51-6061,Alabama,330
51-6062,Alabama,280
51-6063,Alabama,870
51-6064,Alabama,2490
51-6091,Alabama,340
51-6092,Alabama,0
51-6093,Alabama,200
51-7011,Alabama,2380
51-7021,Alabama,180
51-7031,Alabama,0
51-7032,Alabama,0
51-7041,Alabama,2870
51-7042,Alabama,2090
51-8011,Alabama,0
51-8012,Alabama,440
51-8013,Alabama,820
51-8021,Alabama,320
51-8031,Alabama,1910
51-8091,Alabama,900
51-8092,Alabama,270
51-8093,Alabama,360
51-8099,Alabama,70
51-9011,Alabama,2650
51-9012,Alabama,260
51-9021,Alabama,920
51-9022,Alabama,1020
51-9023,Alabama,2370
51-9031,Alabama,400
51-9032,Alabama,1200
51-9041,Alabama,2540
51-9051,Alabama,700
51-9061,Alabama,10690
51-9071,Alabama,330
51-9081,Alabama,890
51-9082,Alabama,110
51-9083,Alabama,90
51-9111,Alabama,3510
51-9121,Alabama,1910
51-9122,Alabama,1130
51-9123,Alabama,680
51-9141,Alabama,0
51-9151,Alabama,260
51-9191,Alabama,250
51-9192,Alabama,330
51-9193,Alabama,200
51-9194,Alabama,50
51-9195,Alabama,490
51-9196,Alabama,2360
51-9197,Alabama,2250
51-9198,Alabama,17170
51-9399,Alabama,0
53-1011,Alabama,40
53-1021,Alabama,3420
53-1031,Alabama,3650
53-2011,Alabama,310
53-2012,Alabama,930
53-2021,Alabama,250
53-2022,Alabama,70
53-2031,Alabama,0
53-3011,Alabama,480
53-3021,Alabama,1270
53-3022,Alabama,9420
53-3031,Alabama,5770
53-3032,Alabama,31890
53-3033,Alabama,11600
53-3041,Alabama,1210
53-4011,Alabama,800
53-4012,Alabama,0
53-4013,Alabama,150
53-4021,Alabama,220
53-4031,Alabama,1030
53-4041,Alabama,0
53-5011,Alabama,340
53-5021,Alabama,220
53-5022,Alabama,0
53-5031,Alabama,130
53-6011,Alabama,0
53-6021,Alabama,400
53-6031,Alabama,1610
