soc_name,sector
Sales Representatives; Wholesale and Manufacturing; Except Technical and Scientific Products,42
Sales Engineers,42
Telemarketers,42
Order Clerks,42
Stock Clerks and Order Fillers,42
Weighers; Measurers; Checkers; and Samplers; Recordkeeping,42
Executive Secretaries and Executive Administrative Assistants,42
Fabric Menders; Except Garment,44
Pressers; Textile; Garment; and Related Materials,44
Sewing Machine Operators,44
Shoe and Leather Workers and Repairers,44
Shoe Machine Operators and Tenders,44
Sewers; Hand,44
Tailors; Dressmakers; and Custom Sewers,44
Textile Bleaching and Dyeing Machine Operators and Tenders,44
Textile Cutting Machine Setters; Operators; and Tenders,44
Textile Knitting and Weaving Machine Setters; Operators; and Tenders,44
Textile Winding; Twisting; and Drawing Out Machine Setters; Operators; and Tenders,44
Purchasing Agents; Except Wholesale; Retail; and Farm Products,44
Social Scientists and Related Workers; All Other,44
Fashion Designers,44
Merchandise Displayers and Window Trimmers,44
Set and Exhibit Designers,44
First-Line Supervisors of Retail Sales Workers,44
First-Line Supervisors of Non-Retail Sales Workers,44
Cashiers,44
Gaming Change Persons and Booth Cashiers,44
Counter and Rental Clerks,44
Parts Salespersons,44
Retail Salespersons,44
Advertising Sales Agents,44
Demonstrators and Product Promoters,44
Door-to-Door Sales Workers; News and Street Vendors; and Related Workers,44
First-Line Supervisors of Office and Administrative Support Workers,44
Switchboard Operators; Including Answering Service,44
Telephone Operators,44
Bill and Account Collectors,44
Billing and Posting Clerks,44
Bookkeeping; Accounting; and Auditing Clerks,44
Gaming Cage Workers,44
Payroll and Timekeeping Clerks,44
Procurement Clerks,44
Tellers,44
Brokerage Clerks,44
Correspondence Clerks,44
Court; Municipal; and License Clerks,44
Credit Authorizers; Checkers; and Clerks,44
Customer Service Representatives,44
Eligibility Interviewers; Government Programs,44
File Clerks,44
Hotel; Motel; and Resort Desk Clerks,44
Interviewers; Except Eligibility and Loan,44
Library Assistants; Clerical,44
Loan Interviewers and Clerks,44
New Accounts Clerks,44
Transportation; Storage; and Distribution Managers,48
Logisticians,48
Cargo and Freight Agents,48
Couriers and Messengers,48
Shipping; Receiving; and Traffic Clerks,48
Avionics Technicians,48
Aircraft Mechanics and Service Technicians,48
Automotive Body and Related Repairers,48
Automotive Glass Installers and Repairers,48
Automotive Service Technicians and Mechanics,48
Bus and Truck Mechanics and Diesel Engine Specialists,48
Mobile Heavy Equipment Mechanics; Except Engines,48
Rail Car Repairers,48
Motorboat Mechanics and Service Technicians,48
Motorcycle Mechanics,48
Bicycle Repairers,48
Tire Repairers and Changers,48
Aircraft Structure; Surfaces; Rigging; and Systems Assemblers,48
Engine and Other Machine Assemblers,48
Aircraft Cargo Handling Supervisors,48
First-Line Supervisors of Helpers; Laborers; and Material Movers; Hand,48
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,48
Airline Pilots; Copilots; and Flight Engineers,48
Commercial Pilots,48
Air Traffic Controllers,48
Airfield Operations Specialists,48
Flight Attendants,48
Ambulance Drivers and Attendants; Except Emergency Medical Technicians,48
Bus Drivers; Transit and Intercity,48
Bus Drivers; School or Special Client,48
Driver/Sales Workers,48
Heavy and Tractor-Trailer Truck Drivers,48
Light Truck or Delivery Services Drivers,48
Taxi Drivers and Chauffeurs,48
Locomotive Engineers,48
Locomotive Firers,48
Rail Yard Engineers; Dinkey Operators; and Hostlers,48
Railroad Brake; Signal; and Switch Operators,48
Railroad Conductors and Yardmasters,48
Subway and Streetcar Operators,48
Sailors and Marine Oilers,48
Captains; Mates; and Pilots of Water Vessels,48
Motorboat Operators,48
Ship Engineers,48
Bridge and Lock Tenders,48
Parking Lot Attendants,48
Automotive and Watercraft Service Attendants,48
Traffic Technicians,48
Transportation Inspectors,48
Transportation Attendants; Except Flight Attendants,48
Conveyor Operators and Tenders,48
Crane and Tower Operators,48
Dredge Operators,48
Excavating and Loading Machine and Dragline Operators,48
Loading Machine Operators; Underground Mining,48
Hoist and Winch Operators,48
Industrial Truck and Tractor Operators,48
Cleaners of Vehicles and Equipment,48
Laborers and Freight; Stock; and Material Movers; Hand,48
Machine Feeders and Offbearers,48
Packers and Packagers; Hand,48
Gas Compressor and Gas Pumping Station Operators,48
Pump Operators; Except Wellhead Pumpers,48
Wellhead Pumpers,48
Mine Shuttle Car Operators,48
Tank Car; Truck; and Ship Loaders,48
Computer; Automated Teller; and Office Machine Repairers,51
Radio; Cellular; and Tower Equipment Installers and Repairs,51
Telecommunications Equipment Installers and Repairers; Except Line Installers,51
Telecommunications Line Installers and Repairers,51
Fiberglass Laminators and Fabricators,51
Computer and Information Systems Managers,51
Computer Systems Analysts,51
Computer Programmers,51
Software Developers; Applications,51
Software Developers; Systems Software,51
Database Administrators,51
Network and Computer Systems Administrators,51
Computer Support Specialists,51
Information Security Analysts; Web Developers; and Computer Network Architects,51
Computer Occupations; All Other,51
Statisticians,51
Multimedia Artists and Animators,51
Graphic Designers,51
Editors,51
Technical Writers,51
Audio and Video Equipment Technicians,51
Computer Operators,51
Data Entry Keyers,51
Word Processors and Typists,51
Desktop Publishers,51
Insurance Claims and Policy Processing Clerks,51
Mail Clerks and Mail Machine Operators; Except Postal Service,51
Office Clerks; General,51
Office Machine Operators; Except Computer,51
Proofreaders and Copy Markers,51
Statistical Assistants,51
Financial Managers,52
Insurance Appraisers; Auto Damage,52
Cost Estimators,52
Compensation; Benefits; and Job Analysis Specialists,52
Accountants and Auditors,52
Credit Analysts,52
Financial Analysts,52
Personal Financial Advisors,52
Insurance Underwriters,52
Financial Examiners,52
Credit Counselors,52
Loan Officers,52
Tax Preparers,52
Financial Specialists; All Other,52
Economists,52
Insurance Sales Agents,52
Securities; Commodities; and Financial Services Sales Agents,52
Electronic Home Entertainment Equipment Installers and Repairers,53
Security and Fire Alarm Systems Installers,53
Manufactured Building and Mobile Home Installers,53
Property; Real Estate; and Community Association Managers,53
Appraisers and Assessors of Real Estate,53
Landscape Architects,53
Cartographers and Photogrammetrists,53
Surveyors,53
