IndustryID,States,gdp_pi
27,Far West,1159
28,Far West,3677
29,Far West,4484
30,Far West,4328
31,Far West,26728
32,Far West,44145
33,Far West,5895
34,Far West,165079
35,Far West,173979
36,Far West,78297
37,Far West,15589
38,Far West,3167
39,Far West,2665
40,Far West,17226
41,Far West,5369
42,Far West,5709
43,Far West,21262
44,Far West,7310
45,Far West,213737
46,Far West,62524
47,Far West,61971
48,Far West,67388
49,Far West,21854
50,Far West,590109
51,Far West,139407
52,Far West,67179
53,Far West,25743
54,Far West,42626
55,Far West,3860
56,Far West,450702
57,Far West,421300
58,Far West,29402
59,Far West,361091
60,Far West,230819
61,Far West,39012
62,Far West,54461
63,Far West,137345
64,Far West,43501
65,Far West,86772
66,Far West,78333
67,Far West,8439
68,Far West,213003
69,Far West,27142
70,Far West,185861
71,Far West,95336
72,Far West,69752
73,Far West,20774
74,Far West,129494
75,Far West,35917
76,Far West,22127
77,Far West,13790
78,Far West,93577
79,Far West,35278
80,Far West,58300
81,Far West,62661
82,Far West,395118
83,Far West,58452
84,Far West,48469
85,Far West,288197
86,Far West,104918
87,Far West,339057
88,Far West,114783
89,Far West,555961
90,Far West,2023935
1,Florida,766374
2,Florida,663803
3,Florida,6604
4,Florida,4560
5,Florida,2044
6,Florida,2092
7,Florida,49
8,Florida,1938
9,Florida,106
10,Florida,14008
11,Florida,31435
12,Florida,37027
13,Florida,21431
14,Florida,592
15,Florida,1494
16,Florida,520
17,Florida,2345
18,Florida,1910
19,Florida,5929
20,Florida,895
21,Florida,538
22,Florida,3475
23,Florida,576
24,Florida,3157
25,Florida,15595
26,Florida,5589
27,Florida,226
28,Florida,186
29,Florida,1477
30,Florida,1240
31,Florida,780
32,Florida,4962
33,Florida,1135
34,Florida,54489
35,Florida,59116
36,Florida,23152
37,Florida,5372
38,Florida,902
39,Florida,3109
40,Florida,4093
41,Florida,1146
42,Florida,48
43,Florida,6718
44,Florida,1765
45,Florida,29889
46,Florida,6143
47,Florida,2219
48,Florida,18391
49,Florida,3136
50,Florida,168068
51,Florida,43781
52,Florida,15043
53,Florida,7322
54,Florida,18531
55,Florida,2886
56,Florida,124286
57,Florida,112775
58,Florida,11512
59,Florida,94769
60,Florida,52403
61,Florida,13816
62,Florida,7686
63,Florida,30901
64,Florida,12097
65,Florida,30269
66,Florida,28588
67,Florida,1681
68,Florida,74251
69,Florida,8085
70,Florida,66167
71,Florida,35729
72,Florida,26387
73,Florida,4050
74,Florida,47928
75,Florida,14947
76,Florida,6370
77,Florida,8577
78,Florida,32981
79,Florida,11632
80,Florida,21349
81,Florida,20974
82,Florida,102571
83,Florida,15621
84,Florida,10587
85,Florida,76364
86,Florida,8696
87,Florida,113605
88,Florida,37160
89,Florida,77158
90,Florida,586645
1,Georgia,436670
2,Georgia,376360
3,Georgia,4552
4,Georgia,3540
5,Georgia,1012
6,Georgia,1234
7,Georgia,0
8,Georgia,1197
9,Georgia,37
10,Georgia,8488
11,Georgia,14711
12,Georgia,49213
13,Georgia,21240
14,Georgia,1240
15,Georgia,1495
16,Georgia,845
17,Georgia,2250
18,Georgia,2429
19,Georgia,2007
20,Georgia,2373
21,Georgia,2407
22,Georgia,4173
23,Georgia,662
24,Georgia,1359
25,Georgia,27973
26,Georgia,11591
27,Georgia,3758
28,Georgia,184
29,Georgia,3473
30,Georgia,1226
31,Georgia,351
32,Georgia,5110
33,Georgia,2280
34,Georgia,35170
35,Georgia,26374
36,Georgia,17887
37,Georgia,6308
38,Georgia,1290
39,Georgia,67
40,Georgia,3937
41,Georgia,401
42,Georgia,99
43,Georgia,3785
44,Georgia,1999
45,Georgia,26090
46,Georgia,6031
47,Georgia,1629
48,Georgia,17252
49,Georgia,1178
50,Georgia,82225
51,Georgia,31413
52,Georgia,19217
53,Georgia,2892
54,Georgia,8941
55,Georgia,363
56,Georgia,50812
57,Georgia,45727
58,Georgia,5086
59,Georgia,53594
60,Georgia,30004
61,Georgia,5643
62,Georgia,6978
63,Georgia,17382
64,Georgia,7933
65,Georgia,15656
66,Georgia,14948
67,Georgia,708
68,Georgia,32566
69,Georgia,4903
70,Georgia,27662
71,Georgia,14685
72,Georgia,10949
73,Georgia,2029
74,Georgia,15183
75,Georgia,2931
76,Georgia,1609
77,Georgia,1322
78,Georgia,12252
79,Georgia,2357
80,Georgia,9895
81,Georgia,9072
82,Georgia,60310
83,Georgia,12329
84,Georgia,8358
85,Georgia,39624
86,Georgia,5786
87,Georgia,61544
88,Georgia,26375
89,Georgia,69711
90,Georgia,306649
1,Great Lakes,2239578
2,Great Lakes,1990927
3,Great Lakes,22773
4,Great Lakes,20559
5,Great Lakes,2214
6,Great Lakes,10514
7,Great Lakes,1310
8,Great Lakes,7942
9,Great Lakes,1263
10,Great Lakes,39624
11,Great Lakes,73654
12,Great Lakes,416227
13,Great Lakes,241775
14,Great Lakes,3208
15,Great Lakes,7895
16,Great Lakes,20142
17,Great Lakes,39514
18,Great Lakes,46158
19,Great Lakes,14082
20,Great Lakes,13044
21,Great Lakes,67210
22,Great Lakes,9077
23,Great Lakes,6607
24,Great Lakes,14838
25,Great Lakes,174452
26,Great Lakes,39134
27,Great Lakes,1123
28,Great Lakes,805
29,Great Lakes,9989
30,Great Lakes,9132
31,Great Lakes,28026
32,Great Lakes,66402
33,Great Lakes,19841
34,Great Lakes,145757
35,Great Lakes,129725
36,Great Lakes,69526
37,Great Lakes,10293
38,Great Lakes,6073
39,Great Lakes,860
40,Great Lakes,24890
41,Great Lakes,3769
42,Great Lakes,1181
43,Great Lakes,13145
44,Great Lakes,9316
45,Great Lakes,63855
46,Great Lakes,20270
47,Great Lakes,4739
48,Great Lakes,33262
49,Great Lakes,5585
50,Great Lakes,433183
51,Great Lakes,172165
52,Great Lakes,67970
53,Great Lakes,20788
54,Great Lakes,77451
55,Great Lakes,5956
56,Great Lakes,261018
57,Great Lakes,238715
58,Great Lakes,22303
59,Great Lakes,261070
60,Great Lakes,136093
61,Great Lakes,27141
62,Great Lakes,24090
63,Great Lakes,84862
64,Great Lakes,54718
65,Great Lakes,70259
66,Great Lakes,64448
67,Great Lakes,5811
68,Great Lakes,201133
69,Great Lakes,23923
70,Great Lakes,177210
71,Great Lakes,78245
72,Great Lakes,86287
73,Great Lakes,12678
74,Great Lakes,73472
75,Great Lakes,19645
76,Great Lakes,9854
77,Great Lakes,9791
78,Great Lakes,53828
79,Great Lakes,11478
80,Great Lakes,42350
81,Great Lakes,50412
82,Great Lakes,248651
83,Great Lakes,35946
84,Great Lakes,11619
85,Great Lakes,201086
86,Great Lakes,33288
87,Great Lakes,275482
88,Great Lakes,109151
89,Great Lakes,523168
90,Great Lakes,1467759
1,Hawaii,72307
2,Hawaii,55876
3,Hawaii,424
4,Hawaii,347
5,Hawaii,77
6,Hawaii,82
7,Hawaii,2
8,Hawaii,80
9,Hawaii,0
10,Hawaii,1607
11,Hawaii,3920
12,Hawaii,1395
13,Hawaii,323
14,Hawaii,17
15,Hawaii,89
16,Hawaii,0
17,Hawaii,28
18,Hawaii,9
19,Hawaii,22
20,Hawaii,3
21,Hawaii,1
22,Hawaii,86
23,Hawaii,22
24,Hawaii,46
25,Hawaii,1072
26,Hawaii,401
27,Hawaii,10
28,Hawaii,22
29,Hawaii,3
30,Hawaii,55
31,Hawaii,488
32,Hawaii,69
33,Hawaii,23
34,Hawaii,2306
35,Hawaii,5080
36,Hawaii,3079
37,Hawaii,1678
38,Hawaii,0
39,Hawaii,239
40,Hawaii,275
41,Hawaii,168
42,Hawaii,0
43,Hawaii,677
44,Hawaii,42
45,Hawaii,1555
46,Hawaii,250
47,Hawaii,221
48,Hawaii,1018
49,Hawaii,66
50,Hawaii,16620
51,Hawaii,2245
52,Hawaii,833
53,Hawaii,156
54,Hawaii,1210
55,Hawaii,46
56,Hawaii,14376
57,Hawaii,13019
58,Hawaii,1356
59,Hawaii,6407
60,Hawaii,3085
61,Hawaii,636
62,Hawaii,539
63,Hawaii,1910
64,Hawaii,903
65,Hawaii,2420
66,Hawaii,2217
67,Hawaii,203
68,Hawaii,5362
69,Hawaii,798
70,Hawaii,4564
71,Hawaii,2333
72,Hawaii,1682
73,Hawaii,549
74,Hawaii,6393
