naics_code,busyness_count,busyness_value,annual_pay,worker_count
332993,55,3505656,789567,11003
332994,269,4755345,686730,12763
332995,67,1104309,237123,3409
332996,760,8190429,1498078,29332
332997,339,528585,193925,4412
332998,56,982283,165460,2893
332999,3342,12887738,2742266,63117
333,24190,402010685,59853609,1055007
3331,3082,117204264,11823665,213769
33311,1279,42276419,3804360,78987
333111,1124,34615918,3226388,63643
333112,155,7660501,577972,15345
33312,781,42193450,3395710,62302
333120,781,42193450,3395710,62302
33313,1022,32734395,4623595,72480
333131,298,7116659,1111511,17280
333132,724,25617736,3512084,55200
3332,3292,32299286,6634191,97136
33321,204,653916,175289,3153
333210,204,653916,175289,3153
33322,458,3173372,712798,12939
333220,458,3173372,712798,12939
33329,2630,28471998,5746104,81045
333291,206,2434556,558549,8529
333292,236,773286,193678,4123
333293,350,1829448,464424,7866
333294,450,4581246,952590,15665
333295,186,10118857,1686094,15045
333298,1202,8734605,1890769,29816
3333,2028,24965486,4670923,80287
33331,2028,24965486,4670923,80287
333311,76,844904,150580,3551
333312,51,1276458,187790,4307
333313,86,1257427,239764,3895
333314,430,4937009,1140214,17278
333315,206,1981809,300886,5008
333319,1179,14667879,2651689,46248
3334,1840,41825442,5943034,129556
33341,1840,41825442,5943034,129556
333411,341,4026853,707036,16839
333412,148,2057380,398928,7960
333414,465,5073536,953362,18646
333415,886,30667673,3883708,86110
3335,6727,29475900,7943404,142277
33351,6727,29475900,7943404,142277
333511,1664,6071689,1847558,35057
333512,331,5569785,1022777,16078
333513,162,2056781,499436,8607
333514,2498,7115327,2301008,41676
333515,1705,5364127,1493435,29216
333516,63,1037242,191899,3001
333518,304,2260949,587291,8644
3336,1005,54052010,6204736,106023
33361,1005,54052010,6204736,106023
333611,183,16919698,2511249,36955
333612,244,4862634,861311,15800
333613,247,4441820,818718,15074
333618,331,27827858,2013458,38195
3339,6216,102188297,16633656,285961
33391,883,26686672,3796530,61680
333911,540,14768691,2161211,35845
333912,308,10284962,1359709,21496
333913,35,1633019,275610,4339
33392,1629,30684264,4231659,79422
333921,181,1971729,362337,7105
333922,802,8556707,1784998,32094
333923,291,9040840,979947,17862
333924,355,11114988,1104377,22361
33399,3704,44817361,8605467,144859
333991,149,4016875,405954,7700
333992,342,5745245,991068,14874
333993,582,5704776,1254746,19769
333994,353,2706548,640554,11004
333995,330,6952532,1478956,25989
333996,146,3953278,633881,10509
333997,83,819141,173798,3342
333999,1719,14918966,3026510,51674
334,13301,313754975,62940798,857093
3341,1123,30073246,4075826,56173
33411,1123,30073246,4075826,56173
334111,366,10151975,1550100,19427
334112,112,8445704,747077,11214
334113,26,638501,53825,841
334119,619,10837066,1724824,24691
3342,1490,43615250,9081821,106620
33421,266,8241046,1420675,18318
334210,266,8241046,1420675,18318
33422,841,30255941,6715417,73195
334220,841,30255941,6715417,73195
33429,383,5118263,945729,15107
334290,383,5118263,945729,15107
3343,466,3039424,542638,9994
33431,466,3039424,542638,9994
334310,466,3039424,542638,9994
3344,4238,90442216,17298360,277043
33441,4238,90442216,17298360,277043
334411,83,1253531,327447,5222
334412,562,4478535,1109328,24165
334413,862,48613197,8532944,102570
334414,65,1140608,214910,5125
334415,55,472163,152210,3863
334416,291,2127644,503335,11124
334417,229,5596824,1122472,20511
334418,916,17362918,2870790,58923
334419,1175,9396796,2464924,45541
3345,5397,143727894,31179898,390235
33451,5397,143727894,31179898,390235
334510,791,28227779,5418406,71339
334511,588,46953765,11556285,127574
334512,295,2598576,723950,11199
334513,858,11086998,2320455,35631
334514,213,6723142,973030,15056
334515,866,12602307,2819847,34031
334516,707,14529122,3501871,43940
334517,169,9319754,1356801,15447
334518,114,723006,186830,3708
334519,796,10963445,2322423,32312
3346,587,2856945,762255,17029
33461,587,2856945,762255,17029
334611,164,393807,122705,2042
334612,347,2183805,551744,13780
334613,76,279333,87806,1207
335,5723,123616757,17644019,337672
3351,1107,11912209,2127373,43823
33511,67,1889569,382336,6494
335110,67,1889569,382336,6494
33512,1040,10022640,1745037,37329
335121,318,1360066,254534,6296
335122,439,4722221,848486,18278
335129,283,3940353,642017,12756
3352,247,19529997,1855157,42726
33521,108,3695657,416221,9326
335211,83,2588963,312034,6816
335212,25,1106694,104187,2511
33522,139,15834340,1438936,33400
335221,88,4359383,382729,10312
335222,22,D, D ,i
335224,4,D, D ,i
335228,25,4547248,399015,8772
3353,2204,38871704,6365395,116677
33531,2204,38871704,6365395,116677
335311,259,5805131,966490,19333
335312,469,11388341,1573120,31600
335313,522,11317596,1854158,32050
335314,954,10360636,1971627,33695
3359,2165,53302847,7296094,134446
33591,192,10955684,1409918,27945
335911,133,6535547,1011232,20383
335912,59,4420137,398686,7562
33592,376,15235833,1527032,28850
335921,101,2204592,347274,5987
335929,275,13031241,1179758,22863
33593,585,13106849,1999367,40146
335931,418,6910565,1265257,25909
335932,167,6196284,734110,14237
33599,1012,14004481,2359777,37505
335991,155,3560230,494684,8992
335999,857,10444251,1865093,28514
336,11917,785685996,85132687,1357124
3361,347,260516021,11190397,157217
33611,263,230957229,9610923,127942
336111,185,108781811,5056485,69285
336112,78,122175418,4554438,58658
33612,84,29558792,1579474,29275
336120,84,29558792,1579474,29275
3362,1912,31963522,4810935,113776
33621,1912,31963522,4810935,113776
336211,754,11439261,1810513,41176
336212,419,7976866,1111439,27670
336213,61,2243140,300071,6609
336214,678,10304255,1588912,38322
3363,5167,215723251,23440449,466061
33631,845,29427161,2893184,48566
336311,107,2358976,418975,9296
336312,738,27068185,2474209,39270
33632,670,19568814,2453909,50066
336321,92,3502029,569795,12420
336322,578,16066785,1884114,37646
33633,249,11990979,1411200,29282
336330,249,11990979,1411200,29282
33634,194,10880734,1078221,23130
336340,194,10880734,1078221,23130
33635,510,34850384,3637823,59908
336350,510,34850384,3637823,59908
33636,403,22306463,2111549,50452
336360,403,22306463,2111549,50452
33637,775,29263835,4351574,83680
336370,775,29263835,4351574,83680
33639,1521,57434881,5502989,120977
336391,73,6588615,648305,12259
336399,1448,50846266,4854684,108718
3364,1764,209644964,34735497,424892
33641,1764,209644964,34735497,424892
336411,288,113025975,14572330,171749
336412,468,37132571,5737624,79125
336413,886,34251579,7481851,106935
336414,35,19713760,5362422,48166
336415,28,4210208,1151312,12530
336419,59,1310871,429958,6388
3365,237,17160151,1711735,28372
33651,237,17160151,1711735,28372
336510,237,17160151,1711735,28372
3366,1581,32076066,7433718,133273
33661,1581,32076066,7433718,133273
336611,697,24946480,6285536,105192
336612,884,7129586,1148182,28081
3369,909,18602021,1809956,33534
33699,909,18602021,1809956,33534
336991,453,5855749,504704,10606
336992,43,5564004,701607,9956
336999,413,7182268,603645,12972
337,16443,67012607,13005377,344023
3371,11871,33525847,7069321,205521
33711,6839,10764778,2659568,77649
337110,6839,10764778,2659568,77649
33712,5032,22761069,4409753,127871
337121,1229,10478356,1783025,55557
337122,2425,4109617,960692,31423
337124,296,2178652,354467,9542
337125,202,986506,117259,3098
337127,718,4723353,1119750,26119
337129,162,284585,74560,2133
3372,3778,23747488,4740751,106939
33721,3778,23747488,4740751,106939
337211,378,2583501,528045,13774
337212,2048,5966326,1688007,37279
337214,252,8503645,1182333,22528
337215,1100,6694016,1342366,33357
3379,794,9739272,1195305,31564
33791,437,7974140,779834,19995
337910,437,7974140,779834,19995
33792,357,1765132,415471,11569
337920,357,1765132,415471,11569
339,29592,149155955,27904752,546814
3391,11517,90885417,16678826,287374
33911,11517,90885417,16678826,287374
339112,1337,37675583,6758871,105419
339113,2079,37085962,6227488,99091
339114,721,4896119,793264,14358
339115,569,6517864,1164261,23168
339116,6811,4709889,1734942,45339
3399,18075,58270538,11225926,259440
33991,2050,7598964,1069992,26026
339911,1319,5335238,698893,15604
339912,77,99931,22712,788
339913,172,1094219,122826,3416
339914,482,1069576,225561,6219
33992,1629,10291397,1661539,36968
339920,1629,10291397,1661539,36968
33993,531,1661299,268047,6676
339931,60,88693,18881,553
339932,471,1572606,249166,6123
33994,521,2773436,436164,10517
339941,57,610775,124158,2884
339942,119,1265140,138580,3371
339943,308,437598,111598,3140
339944,37,459923,61828,1121
33995,5454,10740474,3001006,68384
339950,5454,10740474,3001006,68384
33999,7890,25204968,4789178,110870
339991,567,6586348,1382658,29140
339992,594,1832787,487242,11407
339993,135,828369,178689,3824
339994,192,2830954,390575,8876
339995,110,731420,158633,3751
339999,6292,12395090,2191381,53872
42,419464,7899978591,362121460,5881913
423,245362,3152140174,216773832,3355006
4231,25318,720966602,18485339,371874
42311,6644,531361828,7067181,117943
423110,6644,531361828,7067181,117943
42312,14158,151223677,9144658,200008
423120,14158,151223677,9144658,200008
42313,2535,33548560,1646608,35581
423130,2535,33548560,1646608,35581
42314,1981,4832537,626892,18342
423140,1981,4832537,626892,18342
4232,12987,87078109,7664287,145741
42321,6028,38704358,3428709,63566
423210,6028,38704358,3428709,63566
42322,6959,48373751,4235578,82175
423220,6959,48373751,4235578,82175
4233,16747,135688498,9610739,190431
42331,7234,68809835,4725771,96592
423310,7234,68809835,4725771,96592
42332,3503,20970161,1396659,28574
423320,3503,20970161,1396659,28574
42333,2856,30696813,1831622,30965
423330,2856,30696813,1831622,30965
42339,3154,15211689,1656687,34300
423390,3154,15211689,1656687,34300
4234,35595,497234210,53630849,664770
42341,923,13312202,931185,13754
423410,923,13312202,931185,13754
42342,8250,38382325,6901056,125241
423420,8250,38382325,6901056,125241
42343,9269,232086391,21831518,222821
423430,9269,232086391,21831518,222821
42344,4172,21133091,2383504,47221
423440,4172,21133091,2383504,47221
42345,9652,162874812,18317760,201342
423450,9652,162874812,18317760,201342
42346,1160,10412771,1070495,22479
423460,1160,10412771,1070495,22479
42349,2169,19032618,2195331,31912
423490,2169,19032618,2195331,31912
4235,10763,244477392,9081148,151769
42351,10318,217314460,8746116,148480
423510,10318,217314460,8746116,148480
42352,445,27162932,335032,3289
423520,445,27162932,335032,3289
4236,30134,539296081,45484606,526585
42361,14544,136972727,12592197,185453
423610,14544,136972727,12592197,185453
42362,2696,90151727,2816674,43478
423620,2696,90151727,2816674,43478
42369,12894,312171627,30075735,297654
423690,12894,312171627,30075735,297654
4237,19875,141138479,12930646,230146
42371,6960,49306097,4445617,86074
423710,6960,49306097,4445617,86074
42372,6068,44681985,3988005,71105
423720,6068,44681985,3988005,71105
42373,5514,40665486,3790220,59937
423730,5514,40665486,3790220,59937
42374,1333,6484911,706804,13030
423740,1333,6484911,706804,13030
4238,59258,521274799,43113525,725201
42381,4907,78296835,5488659,87127
423810,4907,78296835,5488659,87127
42382,7812,90020956,5020359,103161
423820,7812,90020956,5020359,103161
42383,31448,221968275,22586821,358207
423830,31448,221968275,22586821,358207
42384,7931,68628840,5367182,91359
423840,7931,68628840,5367182,91359
42385,4641,19895925,2247914,48349
423850,4641,19895925,2247914,48349
42386,2519,42463968,2402590,36998
423860,2519,42463968,2402590,36998
4239,34685,264986004,16772693,348489
42391,5928,36413740,2975654,57714
423910,5928,36413740,2975654,57714
42392,2239,25952110,2105783,34108
423920,2239,25952110,2105783,34108
42393,8888,95784210,4899981,117760
423930,8888,95784210,4899981,117760
42394,7931,63274850,2630726,54293
423940,7931,63274850,2630726,54293
42399,9699,43561094,4160549,84614
423990,9699,43561094,4160549,84614
424,130669,4108368100,131751902,2243665
4241,10735,137761949,7916434,151819
42411,1070,26883848,940730,13751
424110,1070,26883848,940730,13751
42412,4999,39536652,3131911,73351
424120,4999,39536652,3131911,73351
42413,4666,71341449,3843793,64717
424130,4666,71341449,3843793,64717
4242,9954,684554178,28688928,298058
42421,9954,684554178,28688928,298058
424210,9954,684554178,28688928,298058
4243,16287,153744836,10975904,197412
42431,3029,14330850,1192357,24394
424310,3029,14330850,1192357,24394
42432,3938,43641875,2853451,55760
424320,3938,43641875,2853451,55760
42433,7751,64694471,4945433,91076
424330,7751,64694471,4945433,91076
42434,1569,31077640,1984663,26182
424340,1569,31077640,1984663,26182
4244,33892,807626674,37935627,769183
42441,2621,160262956,7039229,132357
424410,2621,160262956,7039229,132357
42442,3521,97560815,4032413,78778
